contour_type,layer,channel,n_images,mean_contour_mean_activation,sem_contour_mean_activation,mean_background_mean_activation,sem_background_mean_activation,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_area_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation,rank_mean_contour_enrichment
C,h1_exc,22,25,5.0611153,0.050601777,2.2287922,0.014219527,2.2724261,0.024645215,3.6792703,0.038461722,1.6533203125,2.225382685982476,0.023263320849412586,0.2417296572527933,0.0026750057625851203,33
C,h1_exc,121,25,5.1029797,0.11633087,2.2617953,0.016600521,2.2610028,0.057250008,3.6598313,0.08931928,1.6533203125,2.213625011991276,0.05402418395063877,0.16724712980795503,0.0034075178165008614,34
C,h1_exc,54,25,3.2409492,0.09505555,1.44085,0.005477242,2.2512217,0.06812243,3.6437452,0.10612816,1.6533203125,2.203895426994011,0.06419092539514987,0.14649794686990153,0.004367021262131456,35
C,h1_exc,45,25,6.6446333,0.10137331,3.1104214,0.02302145,2.1363451,0.02920282,3.4664075,0.04576495,1.6533203125,2.09663385194505,0.027680630179599014,0.15912125028659477,0.0032963583476359627,36
C,h1_exc,16,25,2.973088,0.0476492,1.4181825,0.016069606,2.1004534,0.03583266,3.4098835,0.05620539,1.6533203125,2.0624457372577853,0.033995461701710306,0.15503792774265482,0.0017137081244630785,37
C,h1_exc,2,25,2.1285436,0.031498738,1.0177343,0.005723062,2.091972,0.029971408,3.3968158,0.047016095,1.6533203125,2.054541793446688,0.028437378621259734,0.17212100896658666,0.004531639577884546,38
C,h1_exc,41,25,2.7070968,0.044541113,1.2994155,0.009707752,2.0880098,0.04175348,3.3900821,0.065493345,1.6533203125,2.050469072155609,0.03961322043933328,0.15136512193065332,0.0032248603968752093,39
C,h1_exc,69,25,1.4697899,0.02005723,0.70906675,0.005937563,2.0752425,0.030424805,3.3705451,0.047772422,1.6533203125,2.0386521410675296,0.028894836769195034,0.17798039051355233,0.004262080247047598,40
C,h1_exc,123,25,2.4168875,0.028467165,1.1741092,0.0067832605,2.0597904,0.025682794,3.346446,0.040391326,1.6533203125,2.0240760142729397,0.02443042892843835,0.17544624151497906,0.0022691415464425858,41
C,h1_exc,1,25,5.379925,0.05224824,2.6458042,0.008276125,2.0334585,0.019066509,3.3052564,0.029987412,1.6533203125,1.9991627167918335,0.01813769043877523,0.20921344216548532,0.0017477198983434194,42
C,h1_exc,51,25,1.4071234,0.033819623,0.7075658,0.0040008365,1.9916961,0.05172961,3.2381475,0.08144742,1.6533203125,1.9585724591279345,0.04926294329836136,0.15514623313487375,0.005189533290631582,43
C,h1_exc,75,25,1.9690176,0.033184312,1.0071402,0.014284089,1.9578004,0.027010873,3.1859636,0.042569876,1.6533203125,1.9270093363492615,0.025748110965173494,0.15628592977444372,0.0024160949310156627,44
C,h1_exc,77,25,2.0657814,0.015984336,1.0642918,0.009181966,1.9420347,0.01044297,3.161497,0.016474893,1.6533203125,1.912211017072259,0.009964731712443364,0.19593265066848797,0.0014420432987396193,45
C,h1_exc,89,25,2.5309455,0.06754661,1.3241004,0.011969117,1.9170272,0.05705911,3.1201208,0.08984046,1.6533203125,1.8871846621494266,0.05433941281851536,0.1021905639821485,0.0015318753631513244,46
