filename,contour_type,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,rank_contour_enrichment
C_high_BL_0_J000_000.png,C,h1_exc,117,1.8062559,1.4173514,1.2743883,2.0974565,1.6533203125,1.2686328394361783,78
C_high_BL_0_J000_000.png,C,h1_exc,119,0.6655166,0.5254509,1.2665629,2.0848463,1.6533203125,1.2610056440913628,79
C_high_BL_0_J000_000.png,C,h1_exc,55,2.675831,2.1267366,1.2581863,2.0713434,1.6533203125,1.252838541779937,80
C_high_BL_0_J000_000.png,C,h1_exc,68,1.6889898,1.3707178,1.2321937,2.0294201,1.6533203125,1.2274815169130031,81
C_high_BL_0_J000_000.png,C,h1_exc,33,2.1839936,1.777383,1.2287693,2.023894,1.6533203125,1.2241391120860547,82
C_high_BL_0_J000_000.png,C,h1_exc,101,1.3024228,1.155477,1.1271732,1.8596681,1.6533203125,1.124808127218194,83
C_high_BL_0_J000_000.png,C,h1_exc,95,0.9756213,0.8990583,1.0851591,1.7915932,1.6533203125,1.0836334433358867,84
C_high_BL_0_J000_000.png,C,h1_exc,66,1.0100938,0.93112344,1.0848119,1.7910302,1.6533203125,1.083292901054463,85
C_high_BL_0_J000_000.png,C,h1_exc,82,2.364706,2.1855824,1.081957,1.7864009,1.6533203125,1.0804929267977348,86
C_high_BL_0_J000_000.png,C,h1_exc,63,2.165904,2.0120044,1.0764908,1.7775359,1.6533203125,1.0751309901561776,87
C_high_BL_0_J000_000.png,C,h1_exc,127,0.765059,0.7109427,1.0761191,1.7769333,1.6533203125,1.0747665096919394,88
C_high_BL_0_J000_000.png,C,h1_exc,10,0.91826713,0.87941444,1.0441802,1.7251043,1.6533203125,1.0434180893401648,89
C_high_BL_0_J000_000.png,C,h1_exc,122,0.68282646,0.6841349,0.99808747,1.6502106,1.6533203125,0.9981191161295838,90
C_high_BL_0_J000_000.png,C,h1_exc,3,1.0209619,1.0258583,0.99522704,1.6455588,1.6533203125,0.9953055144133618,91
C_high_BL_0_J000_000.png,C,h1_exc,32,0.75706977,0.76428515,0.9905593,1.6379676,1.6533203125,0.9907139979024446,92
C_high_BL_0_J000_000.png,C,h1_exc,114,0.9332123,0.9465686,0.98588973,1.6303716,1.6533203125,0.986119597273116,93
C_high_BL_0_J000_000.png,C,h1_exc,17,1.6588888,1.704412,0.973291,1.6098726,1.6533203125,0.9737209164285132,94
C_high_BL_0_J000_000.png,C,h1_exc,15,0.8647733,0.89158595,0.969927,1.6043978,1.6533203125,0.9704095158744871,95
C_high_BL_0_J000_000.png,C,h1_exc,111,1.2536798,1.2939025,0.9689136,1.602748,1.6533203125,0.9694116830071098,96
C_high_BL_0_J000_000.png,C,h1_exc,126,0.9147446,0.9565049,0.9563408,1.5822797,1.6533203125,0.9570315326233002,97
C_high_BL_0_J000_000.png,C,h1_exc,112,1.5315906,1.7001349,0.9008642,1.4918624,1.6533203125,0.9023432398215108,98
C_high_BL_0_J000_000.png,C,h1_exc,81,0.9537986,1.0825282,0.88108426,1.4595841,1.6533203125,0.8828199212652755,99
C_high_BL_0_J000_000.png,C,h1_exc,116,1.1229795,1.3259267,0.8469394,1.4038147,1.6533203125,0.8490881375612965,100
C_high_BL_0_J000_000.png,C,h1_exc,73,0.71732587,0.8694254,0.8250574,1.3680412,1.6533203125,0.8274507602095197,101
C_high_BL_0_J000_000.png,C,h1_exc,38,1.1818419,1.5560349,0.7595214,1.2607447,1.6533203125,0.7625531929521665,102
C_high_BL_0_J000_000.png,C,h1_exc,50,1.0900689,1.4566172,0.74835646,1.2424419,1.6533203125,0.7514828649448851,103
C_high_BL_0_J000_000.png,C,h1_exc,5,0.27334306,0.3718596,0.7350706,1.2206537,1.6533203125,0.7383043905848055,104
C_high_BL_0_J000_000.png,C,h1_exc,100,1.7596853,2.3986526,0.7336141,1.2182646,1.6533203125,0.7368593751577437,105
C_high_BL_0_J000_000.png,C,h1_exc,11,1.9048761,2.5981236,0.7331738,1.2175423,1.6533203125,0.7364225033213798,106
C_high_BL_0_J000_000.png,C,h1_exc,30,0.67269206,0.9191764,0.73184216,1.2153578,1.6533203125,0.7351012165741663,107
C_high_BL_0_J000_000.png,C,h1_exc,9,0.42392197,0.6239435,0.67942363,1.1292905,1.6533203125,0.6830439607931585,108
C_high_BL_0_J000_000.png,C,h1_exc,104,0.9223172,1.369339,0.67354923,1.1196356,1.6533203125,0.6772042699367562,109
C_high_BL_0_J000_000.png,C,h1_exc,42,0.7997764,1.2194664,0.65584123,1.0905209,1.6533203125,0.6595944197405512,110
C_high_BL_0_J000_000.png,C,h1_exc,52,2.1398048,3.280831,0.6522143,1.0845551,1.6533203125,0.6559860991960734,111
C_high_BL_0_J000_000.png,C,h1_exc,44,0.40866336,0.63174456,0.6468807,1.0757816,1.6533203125,0.6506794655250545,112
C_high_BL_0_J000_000.png,C,h1_exc,35,0.9763527,1.6197076,0.60279566,1.0032024,1.6533203125,0.6067804433913575,113
C_high_BL_0_J000_000.png,C,h1_exc,34,0.7006682,1.1715875,0.5980503,0.9953836,1.6533203125,0.6020512823292572,114
C_high_BL_0_J000_000.png,C,h1_exc,4,0.9050165,1.5601007,0.5801013,0.965798,1.6533203125,0.5841566254399283,115
C_high_BL_0_J000_000.png,C,h1_exc,39,0.8122868,1.4197338,0.5721402,0.95267016,1.6533203125,0.5762163229900774,116
C_high_BL_0_J000_000.png,C,h1_exc,103,0.22444369,0.4079656,0.5501535,0.91639566,1.6533203125,0.5542759329477049,117
C_high_BL_0_J000_000.png,C,h1_exc,96,1.0643374,1.9844208,0.5363466,0.8936029,1.6533203125,0.5404898829927879,118
C_high_BL_0_J000_000.png,C,h1_exc,106,0.7045153,1.3376635,0.526676,0.87763196,1.6533203125,0.5308299609916317,119
C_high_BL_0_J000_000.png,C,h1_exc,56,0.3426351,0.6622163,0.5174066,0.8623192,1.6533203125,0.5215681194342063,120
C_high_BL_0_J000_000.png,C,h1_exc,31,0.75576925,1.5428895,0.48984018,0.8167517,1.6533203125,0.49400694312285526,121
C_high_BL_0_J000_000.png,C,h1_exc,49,1.0270019,2.1488273,0.47793597,0.797061,1.6533203125,0.4820971564004615,122
C_high_BL_0_J000_000.png,C,h1_exc,59,0.39601994,0.89927596,0.44037643,0.7348828,1.6533203125,0.4444890454486273,123
C_high_BL_0_J000_000.png,C,h1_exc,107,0.9843957,2.2461438,0.43826032,0.73137724,1.6533203125,0.442368749747021,124
C_high_BL_0_J000_000.png,C,h1_exc,98,1.4932598,3.5496776,0.42067477,0.70223624,1.6533203125,0.4247430008480732,125
C_high_BL_0_J000_000.png,C,h1_exc,86,0.96611637,2.3248289,0.4155645,0.6937648,1.6533203125,0.41961911212989533,126
C_high_BL_0_J000_000.png,C,h1_exc,113,0.7822423,2.1821532,0.35847268,0.5990237,1.6533203125,0.3623155728556267,127
C_high_BL_0_J000_000.png,C,h1_exc,124,0.4074636,1.2133868,0.33580688,0.5613607,1.6533203125,0.33953536358334047,128
C_high_BL_0_J000_000.png,C,td_h1_exc,72,9.2901945,1.3918023,6.674938,10.089194,1.6533203125,6.1023832831949765,1
C_high_BL_0_J000_000.png,C,td_h1_exc,61,9.918045,1.8040187,5.4977508,8.460408,1.6533203125,5.117222655293644,2
C_high_BL_0_J000_000.png,C,td_h1_exc,64,4.511774,0.88629574,5.0905967,7.8832383,1.6533203125,4.768125213426254,3
C_high_BL_0_J000_000.png,C,td_h1_exc,21,4.1702876,0.90276915,4.6194396,7.2061877,1.6533203125,4.3586155852548885,4
C_high_BL_0_J000_000.png,C,td_h1_exc,13,4.846542,1.0604511,4.5702643,7.1349487,1.6533203125,4.31552714460071,5
C_high_BL_0_J000_000.png,C,td_h1_exc,25,7.595147,1.6923301,4.487982,7.015505,1.6533203125,4.243282285690366,6
C_high_BL_0_J000_000.png,C,td_h1_exc,78,8.400451,1.9477904,4.3128104,6.7601924,1.6533203125,4.0888582220016785,7
C_high_BL_0_J000_000.png,C,td_h1_exc,48,3.5292726,0.8637986,4.0857587,6.4271693,1.6533203125,3.8874313921508876,8
C_high_BL_0_J000_000.png,C,td_h1_exc,0,5.552501,1.4340558,3.8718865,6.111295,1.6533203125,3.6963770057547842,9
