bias_strength,bias_condition,contour_type,layer,channel_group,n_channels,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation
0.25,baseline,C,td_h1_exc,straight_channels,51,1.4027867,0.03150111,2.2717657,0.048800882,1.374062599504205,0.029516895123582118,0.08213428550299105,0.002333921983030514
0.25,baseline,straight,h1_exc,C_channels,77,1.6335531,0.026319642,1.3354402,0.020901069,1.614510992365298,0.02526882550864433,0.0515996682863755,0.0010466447416438538
0.25,baseline,straight,h1_exc,straight_channels,51,1.6469203,0.02988481,1.3475043,0.023922715,1.629095990706508,0.028921912721918127,0.05443951734059749,0.0013176219649828707
0.25,baseline,straight,td_h1_exc,C_channels,77,1.5190853,0.027171614,1.2417446,0.02181623,1.5012355480546884,0.02637522949707399,0.046465801475616665,0.001163786127022944
0.25,baseline,straight,td_h1_exc,straight_channels,51,1.5129611,0.032709494,1.2371835,0.026145596,1.4957212626471932,0.031609315227452923,0.049764630347886515,0.0014393544665877163
0.25,straight_bias,C,h1_exc,C_channels,77,1.9965042,0.031638548,3.2001727,0.04770104,1.9356036413215245,0.02885166059274754,0.12407214631150679,0.0018836151241810783
0.25,straight_bias,C,h1_exc,straight_channels,51,1.5637978,0.029179297,2.5340014,0.04530951,1.532674206864786,0.02740516020718544,0.08831495910740206,0.0021328348578273882
0.25,straight_bias,C,td_h1_exc,C_channels,77,1.7425772,0.029589914,2.8034027,0.04592973,1.6956198653773715,0.02778029668497405,0.10141291686952389,0.00210585967138128
0.25,straight_bias,C,td_h1_exc,straight_channels,51,1.5320839,0.038597915,2.4640155,0.058280163,1.490343723867662,0.03525037456910292,0.0844156688935547,0.0022972170924101237
0.25,straight_bias,straight,h1_exc,C_channels,77,1.6599542,0.027567515,1.3560568,0.021818584,1.6394358394243205,0.02637807464541107,0.052690253248388406,0.001052227070414235
0.25,straight_bias,straight,h1_exc,straight_channels,51,1.7058146,0.03212395,1.394173,0.025556074,1.685517293215249,0.03089660000763112,0.05591601639060769,0.0013108906665046049
0.25,straight_bias,straight,td_h1_exc,C_channels,77,1.5127019,0.027428385,1.2363844,0.02199825,1.4947551931018275,0.026595288359488333,0.046155234925187166,0.0011516499913586861
0.25,straight_bias,straight,td_h1_exc,straight_channels,51,1.6476277,0.039194062,1.3428738,0.03091712,1.6234978668154745,0.03737795699387468,0.05021167993364611,0.001398624211586472
