filename,contour_type,jitter,condition,layer,mean_activation,mean_abs_activation,std_activation,min_activation,max_activation
C_high_BL_0_J050_015.png,C,50,baseline,h2_exc,2.365567684173584,2.365567684173584,3.3476760387420654,0.006767795421183109,108.58258056640625
C_high_BL_0_J050_015.png,C,50,baseline,h3_exc,22.179006576538086,22.179006576538086,83.13685607910156,0.0034508053213357925,1772.5306396484375
C_high_BL_0_J050_015.png,C,50,baseline,h4_exc,6782.08984375,6782.08984375,46284.4453125,3.034637302334886e-05,1122269.0
C_high_BL_0_J050_015.png,C,50,matched_bias,h0_exc,3.7669785022735596,3.7669785022735596,4.090484142303467,0.03951079025864601,167.8937530517578
C_high_BL_0_J050_015.png,C,50,matched_bias,h1_exc,2.458514928817749,2.458514928817749,1.945957899093628,0.05583646520972252,181.41506958007812
C_high_BL_0_J050_015.png,C,50,matched_bias,h2_exc,2.392134428024292,2.392134428024292,3.3972861766815186,0.006718853488564491,106.00114440917969
C_high_BL_0_J050_015.png,C,50,matched_bias,h3_exc,22.05316925048828,22.05316925048828,82.38982391357422,0.0034512444399297237,1758.9129638671875
C_high_BL_0_J050_015.png,C,50,matched_bias,h4_exc,6820.6181640625,6820.6181640625,46272.390625,2.9230928703327663e-05,1146128.625
C_high_BL_0_J051_017.png,C,51,baseline,h0_exc,3.8220396041870117,3.8220396041870117,4.147144794464111,0.04575461521744728,115.86937713623047
C_high_BL_0_J051_017.png,C,51,baseline,h1_exc,2.198859453201294,2.198859453201294,1.7444897890090942,0.04839267581701279,100.13356018066406
C_high_BL_0_J051_017.png,C,51,baseline,h2_exc,2.3596177101135254,2.3596177101135254,3.3016152381896973,0.0059755900874733925,86.51107025146484
C_high_BL_0_J051_017.png,C,51,baseline,h3_exc,21.81671905517578,21.81671905517578,82.19479370117188,0.005766788963228464,1884.146240234375
C_high_BL_0_J051_017.png,C,51,baseline,h4_exc,6758.853515625,6758.853515625,48270.48046875,2.9261298550409265e-05,1438293.125
C_high_BL_0_J051_017.png,C,51,matched_bias,h0_exc,3.823725700378418,3.823725700378418,4.0790228843688965,0.04721955209970474,109.02230834960938
C_high_BL_0_J051_017.png,C,51,matched_bias,h1_exc,2.4653820991516113,2.4653820991516113,1.9178959131240845,0.04852503538131714,92.96131896972656
C_high_BL_0_J051_017.png,C,51,matched_bias,h2_exc,2.3829805850982666,2.3829805850982666,3.342808723449707,0.005797660909593105,94.81037139892578
C_high_BL_0_J051_017.png,C,51,matched_bias,h3_exc,21.643091201782227,21.643091201782227,81.40676879882812,0.005570370238274336,1919.74658203125
C_high_BL_0_J051_017.png,C,51,matched_bias,h4_exc,6720.03955078125,6720.03955078125,47531.45703125,2.9598240871564485e-05,1403527.75
C_high_BL_0_J052_020.png,C,52,baseline,h0_exc,3.787599802017212,3.787599802017212,4.369737148284912,0.023334572091698647,361.80908203125
C_high_BL_0_J052_020.png,C,52,baseline,h1_exc,2.2007529735565186,2.2007529735565186,1.8087941408157349,0.05476624518632889,189.50914001464844
C_high_BL_0_J052_020.png,C,52,baseline,h2_exc,2.3657987117767334,2.3657987117767334,3.329925060272217,0.006280096247792244,113.22421264648438
C_high_BL_0_J052_020.png,C,52,baseline,h3_exc,22.2028865814209,22.2028865814209,83.89460754394531,0.005430702120065689,1955.6458740234375
C_high_BL_0_J052_020.png,C,52,baseline,h4_exc,7529.01806640625,7529.01806640625,54613.62109375,2.811814374581445e-05,1513423.125
C_high_BL_0_J052_020.png,C,52,matched_bias,h0_exc,3.7908871173858643,3.7908871173858643,4.321256637573242,0.02356172911822796,365.80743408203125
C_high_BL_0_J052_020.png,C,52,matched_bias,h1_exc,2.468123197555542,2.468123197555542,1.9724748134613037,0.05803261697292328,194.29127502441406
C_high_BL_0_J052_020.png,C,52,matched_bias,h2_exc,2.393819808959961,2.393819808959961,3.372931957244873,0.006412091664969921,112.29446411132812
C_high_BL_0_J052_020.png,C,52,matched_bias,h3_exc,22.072349548339844,22.072349548339844,83.2017593383789,0.004631444346159697,1944.14306640625
C_high_BL_0_J052_020.png,C,52,matched_bias,h4_exc,7477.90625,7477.90625,53531.2265625,2.746650716289878e-05,1508879.375
C_high_BL_0_J053_024.png,C,53,baseline,h0_exc,3.781822919845581,3.781822919845581,4.270668983459473,0.040450215339660645,152.27154541015625
C_high_BL_0_J053_024.png,C,53,baseline,h1_exc,2.1975643634796143,2.1975643634796143,1.7632288932800293,0.057399213314056396,123.79610443115234
C_high_BL_0_J053_024.png,C,53,baseline,h2_exc,2.3476827144622803,2.3476827144622803,3.3154358863830566,0.00692426972091198,99.32112884521484
C_high_BL_0_J053_024.png,C,53,baseline,h3_exc,21.840595245361328,21.840595245361328,81.6165542602539,0.0061202272772789,1824.473876953125
C_high_BL_0_J053_024.png,C,53,baseline,h4_exc,6711.04833984375,6711.04833984375,48012.4375,3.2605988963041455e-05,1365614.5
C_high_BL_0_J053_024.png,C,53,matched_bias,h0_exc,3.783170700073242,3.783170700073242,4.194178104400635,0.0408145934343338,143.27345275878906
C_high_BL_0_J053_024.png,C,53,matched_bias,h1_exc,2.4629085063934326,2.4629085063934326,1.929909586906433,0.0443795844912529,118.34701538085938
C_high_BL_0_J053_024.png,C,53,matched_bias,h2_exc,2.372488260269165,2.372488260269165,3.3548765182495117,0.0061307610012590885,100.5555191040039
C_high_BL_0_J053_024.png,C,53,matched_bias,h3_exc,21.632484436035156,21.632484436035156,80.74488830566406,0.005542214494198561,1789.5628662109375
C_high_BL_0_J053_024.png,C,53,matched_bias,h4_exc,6713.294921875,6713.294921875,47727.10546875,3.3515632821945474e-05,1406572.125
C_high_BL_0_J054_031.png,C,54,baseline,h0_exc,3.7841930389404297,3.7841930389404297,4.151653289794922,0.03956209868192673,192.353271484375
C_high_BL_0_J054_031.png,C,54,baseline,h1_exc,2.193019390106201,2.193019390106201,1.763236165046692,0.05249010771512985,134.08021545410156
C_high_BL_0_J054_031.png,C,54,baseline,h2_exc,2.3530118465423584,2.3530118465423584,3.309812307357788,0.008221784606575966,91.74694061279297
C_high_BL_0_J054_031.png,C,54,baseline,h3_exc,22.242326736450195,22.242326736450195,83.21163177490234,0.004547134041786194,1696.1925048828125
C_high_BL_0_J054_031.png,C,54,baseline,h4_exc,6494.79541015625,6494.79541015625,47429.54296875,2.7713156669051386e-05,1487783.375
C_high_BL_0_J054_031.png,C,54,matched_bias,h0_exc,3.7847726345062256,3.7847726345062256,4.084258079528809,0.03956016153097153,191.15296936035156
C_high_BL_0_J054_031.png,C,54,matched_bias,h1_exc,2.457979679107666,2.457979679107666,1.9354314804077148,0.04053989052772522,135.6126251220703
