condition,contour_type,layer,channel,n_images,mean_contour_mean_activation,sem_contour_mean_activation,mean_background_mean_activation,sem_background_mean_activation,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_area_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation,rank_mean_contour_enrichment
full_td,C,h1_exc,64,25,6.2010603,0.124251895,2.2165525,0.014094403,2.7985108,0.05572395,4.491396,0.08533109,1.6533203125,2.7165913708990574,0.05161195154585368,0.2249895248468742,0.0032860766804258634,20
full_td,C,h1_exc,65,25,4.1350765,0.041347217,2.438322,0.0075292545,1.6967894,0.019792305,2.7731423,0.031426877,1.6533203125,1.6773171021370485,0.019008341367554624,0.1271560627220827,0.00414186648824615,56
full_td,C,h1_exc,66,25,1.0515304,0.008142422,0.9590072,0.0089206435,1.0973592,0.006950139,1.8113396,0.011258371,1.6533203125,1.0955769035827925,0.006809552238699706,0.06856951311483402,0.0007617661818130064,85
full_td,C,h1_exc,67,25,2.066824,0.031650383,1.267629,0.010989551,1.6301991,0.019282714,2.6672163,0.03069716,1.6533203125,1.613248240159311,0.01856697596419576,0.12711597913770034,0.0018914507152154798,59
full_td,C,h1_exc,68,25,1.7786474,0.026708094,1.3908758,0.010276293,1.2810711,0.023028854,2.1078866,0.03706481,1.6533203125,1.2749414619892052,0.022418407081703708,0.06892483030246466,0.0016922115610730182,76
full_td,C,h1_exc,69,25,1.4697899,0.02005723,0.70906675,0.005937563,2.0752425,0.030424805,3.3705451,0.047772422,1.6533203125,2.0386521410675296,0.028894836769194947,0.17798039051355233,0.004262080247047597,40
full_td,C,h1_exc,70,25,1.3678056,0.011841848,0.9837236,0.0034553728,1.3902807,0.010273402,2.283776,0.016492305,1.6533203125,1.3813269629977625,0.009975262781977395,0.12125701835236632,0.0011856464509517664,71
full_td,C,h1_exc,71,25,2.0674713,0.023917185,1.3142343,0.013636181,1.5732085,0.008525752,2.5765536,0.013608591,1.6533203125,1.558411637336453,0.008231067216683029,0.13402162071555013,0.002098444214655023,61
full_td,C,h1_exc,72,25,15.166101,0.23227902,3.7514956,0.018465685,4.0426064,0.059057135,6.361666,0.08702362,1.6533203125,3.8478123152161263,0.05263566858838572,0.2353473560712014,0.002282061854060629,8
full_td,C,h1_exc,73,25,0.70845866,0.007374828,0.85737056,0.007589496,0.826328,0.0047129793,1.3701046,0.0077054617,1.6533203125,0.8286987557396632,0.004660598066365999,0.02090329685696191,0.0004816251076290951,101
full_td,C,h1_exc,74,25,1.502759,0.013021497,0.64966506,0.005977215,2.3168962,0.026200162,3.7485328,0.04078113,1.6533203125,2.2672754980445062,0.02466619868152767,0.17257018352453482,0.0016303701225514149,30
full_td,C,h1_exc,75,25,1.9690176,0.033184312,1.0071402,0.014284089,1.9578004,0.027010873,3.1859636,0.042569876,1.6533203125,1.9270093363492615,0.025748110965173477,0.15628592977444372,0.002416094931015665,44
full_td,C,h1_exc,76,25,3.861558,0.115349256,0.91388994,0.0073853135,4.235081,0.13601777,6.6362996,0.19818735,1.6533203125,4.013922296029938,0.1198723265598398,0.20808849409183935,0.0021535899235462738,7
full_td,C,h1_exc,77,25,2.0657814,0.015984336,1.0642918,0.009181966,1.9420347,0.01044297,3.161497,0.016474893,1.6533203125,1.912211017072259,0.009964731712443367,0.19593265066848797,0.0014420432987396195,45
full_td,C,h1_exc,78,25,12.336073,0.1475078,3.4260247,0.028392686,3.6057105,0.050251875,5.713745,0.075091235,1.6533203125,3.4559212357420948,0.04541844256589257,0.23133160144118714,0.0027305533615282727,11
full_td,C,h1_exc,79,25,1.9884053,0.011409875,1.2424079,0.008235917,1.6012013,0.008562041,2.6211982,0.013653213,1.6533203125,1.5854146055078144,0.008258056546233971,0.15748493077172926,0.00175962768172086,60
full_td,C,h1_exc,80,25,9.141077,0.111595936,3.6895287,0.0072590304,2.4779577,0.031235382,3.9985518,0.04839114,1.6533203125,2.4184980922365353,0.029269065067456045,0.21275319461074155,0.0035731992033318544,26
full_td,C,h1_exc,81,25,0.9986392,0.013323227,1.0566803,0.0050914106,0.94559497,0.013504517,1.5646609,0.021984857,1.6533203125,0.9463749112133024,0.013297396375522241,0.051634788846925336,0.0012262087331954264,97
full_td,C,h1_exc,82,25,2.8033884,0.06367474,2.234949,0.021442814,1.2569741,0.03104805,2.068775,0.050038863,1.6533203125,1.25128506042766,0.030265680558350886,0.05173552333859739,0.002099778858933513,81
full_td,C,h1_exc,83,25,3.083629,0.02873082,1.7229239,0.0081926985,1.7901524,0.01617049,2.921367,0.025620881,1.6533203125,1.7669696691523809,0.015496622381762191,0.13327746585088973,0.003070267623726849,49
full_td,C,h1_exc,84,25,3.4825792,0.05916538,1.2389745,0.0059520174,2.8128226,0.05038226,4.513671,0.077192634,1.6533203125,2.730064380083663,0.046689461270346136,0.16578563647015354,0.0024095279196887105,19
full_td,C,h1_exc,85,25,0.83875954,0.010946812,0.6060823,0.0048068217,1.3837036,0.013659581,2.2731657,0.021924585,1.6533203125,1.3749094534382322,0.013260942310126419,0.08699237408858879,0.0024303603131559715,72
full_td,C,h1_exc,86,25,1.0195298,0.015895076,2.2821803,0.010441629,0.4467771,0.0068313796,0.74545336,0.011309909,1.6533203125,0.45088259375239575,0.006840724575343388,0.0014480710979286545,0.00027925972192563165,124
full_td,C,h1_exc,87,25,4.1333103,0.069141075,1.6738172,0.008579924,2.4683933,0.0361911,3.98353,0.056099065,1.6533203125,2.4094121617133752,0.03393115257473457,0.19030252241666779,0.0016466909853652557,28
full_td,C,h1_exc,88,25,1.3134457,0.014618843,1.0441961,0.00505379,1.258764,0.01595925,2.0721123,0.025709577,1.6533203125,1.2533036837449694,0.01555026971153347,0.11531048353296294,0.0033485693831791733,80
full_td,C,h1_exc,89,25,2.5309455,0.06754661,1.3241004,0.011969117,1.9170272,0.05705911,3.1201208,0.08984046,1.6533203125,1.8871846621494266,0.054339412818515426,0.1021905639821485,0.001531875363151324,46
full_td,C,h1_exc,90,25,4.2467313,0.07980603,1.626618,0.011491461,2.615731,0.055466294,4.210283,0.08576893,1.6533203125,2.546562132734837,0.05187677946289482,0.1770015922230981,0.003695623441496134,23
full_td,C,h1_exc,91,25,0.9825856,0.009954053,0.68018997,0.006861428,1.4460405,0.0133453235,2.3731542,0.021383831,1.6533203125,1.435386763135936,0.012933870624168583,0.09988435431148923,0.0032799372088944756,67
full_td,C,h1_exc,92,25,9.18269,0.17648125,3.0257163,0.011503375,3.0386846,0.065530136,4.857603,0.099461615,1.6533203125,2.938089369134799,0.060158709362498945,0.22566663873273637,0.0024696791650122315,16
full_td,C,h1_exc,93,25,2.4245296,0.021792956,1.3417273,0.010148386,1.8096123,0.021634424,2.95206,0.034254678,1.6533203125,1.7855340933239108,0.020718716998526576,0.14691207799481457,0.003338830128883604,48
full_td,C,h1_exc,94,25,4.6550875,0.05201878,2.6369483,0.010609142,1.7657083,0.019956172,2.882539,0.03166339,1.6533203125,1.7434848812886679,0.019151395109309317,0.13259274679684446,0.0019964759911400383,53
full_td,C,h1_exc,95,25,0.90239215,0.010896574,0.8988433,0.004625766,1.0042988,0.01221799,1.6602134,0.019854806,1.6533203125,1.0041691630464384,0.012009050051687026,0.035082544205115994,0.0018466646211828923,89
full_td,C,h1_exc,96,25,1.0593152,0.014141425,1.991495,0.00463963,0.5319194,0.007003684,0.8862597,0.011567311,1.6533203125,0.5360483925533939,0.006996412659193672,0.003955417749095822,0.000493503121237681,120
full_td,C,h1_exc,97,25,2.1074646,0.06634137,1.1401722,0.008057571,1.8489468,0.058130287,3.0125065,0.09156417,1.6533203125,1.8220949145458496,0.05538199109519641,0.0957278136259987,0.003459460667825803,47
full_td,C,h1_exc,98,25,1.415861,0.016450193,3.4852939,0.012816612,0.4063887,0.0050536213,0.67853326,0.008378106,1.6533203125,0.41040639864548933,0.005067442964456124,0.0011396966395699826,0.0002906183257326529,126
full_td,C,h1_exc,99,25,5.9871387,0.16305949,1.2812304,0.011024974,4.6811433,0.13147601,7.286072,0.19014171,1.6533203125,4.406932909515953,0.11500597389074477,0.1900812871866336,0.0020563556700911177,4
full_td,C,h1_exc,100,25,1.7035778,0.01833621,2.3869088,0.006456119,0.71363664,0.00712332,1.1854495,0.0116907535,1.6533203125,0.7170113481301632,0.007071075919904238,0.020118997737350104,0.0010807642070600695,108
full_td,C,h1_exc,101,25,1.289682,0.025177518,1.1258396,0.0037306915,1.145421,0.021821762,1.8889009,0.035283823,1.6533203125,1.142489347808607,0.02134119013091045,0.03567250481854046,0.001459831745158635,84
full_td,C,h1_exc,102,25,6.6690454,0.05811281,3.7309134,0.010285413,1.7880784,0.017421862,2.918055,0.027586125,1.6533203125,1.76496662584273,0.016685287072067123,0.13208413642828115,0.0029772271442230595,50
full_td,C,h1_exc,103,25,0.22964402,0.0038883951,0.41931343,0.0025158336,0.5477614,0.008912934,0.91239494,0.014714513,1.6533203125,0.5518561114546624,0.008899977039340508,0.0068582747163589905,0.00035723912420721095,119
full_td,C,h1_exc,104,25,1.0434278,0.010587268,1.4531616,0.008358899,0.7180369,0.0060923537,1.1926808,0.0099983355,1.6533203125,0.7213851800357447,0.0060474279432446675,0.024885498415234387,0.0011579633357269184,106
full_td,C,h1_exc,105,25,7.0468583,0.09895994,1.8479738,0.013847143,3.8187695,0.06250133,6.030321,0.092574105,1.6533203125,3.64740015283188,0.05599284144950724,0.2387530377941517,0.0016878856252904562,9
full_td,C,h1_exc,106,25,0.73704267,0.008228143,1.3439945,0.003117781,0.54836273,0.0058370125,0.91341734,0.009632196,1.6533203125,0.5524745457553186,0.005825971119827536,0.0038347400549073023,0.00042996145576633393,118
full_td,C,h1_exc,107,25,0.9961011,0.019296022,2.2375815,0.0063945847,0.44514203,0.008477704,0.74272865,0.0140351,1.6533203125,0.44923455657800176,0.00848903883593243,0.0010793372880704428,0.00024210707803626796,125
full_td,C,h1_exc,108,25,3.4366674,0.027627895,2.4131575,0.016381208,1.4242913,0.007557839,2.33837,0.012114487,1.6533203125,1.4143478172815733,0.007327368001858166,0.13437693790318078,0.0019568684462791166,70
full_td,C,h1_exc,109,25,1.5582092,0.03358204,1.1414689,0.013567917,1.366011,0.026998365,2.2444084,0.04328482,1.6533203125,1.3575157275393024,0.026180539173690627,0.07132489734344144,0.0013046850263691097,73
full_td,C,h1_exc,110,25,1.3733647,0.015343107,0.9417918,0.0075811977,1.4586685,0.013302033,2.3933842,0.02129759,1.6533203125,1.4476228027750841,0.012881708563154778,0.0999175371804069,0.0020782576705521646,66
full_td,C,h1_exc,111,25,1.2098582,0.017049469,1.3017013,0.0055453624,0.9291687,0.011619817,1.5379272,0.018944751,1.6533203125,0.9302051503699125,0.011458609566776565,0.035967393557634585,0.0013603601696502757,98
full_td,C,h1_exc,112,25,1.5715045,0.021475237,1.7176672,0.007612834,0.91502565,0.012295774,1.514861,0.020040661,1.6533203125,0.9162537784214774,0.012121462527212313,0.042497276460200704,0.0006571554948114468,99
full_td,C,h1_exc,113,25,0.81946886,0.01670552,2.128422,0.015199985,0.38575786,0.008944861,0.6442715,0.0148359565,1.6533203125,0.38968340796309325,0.008973431248132376,0.003050364535319659,0.00048072012657964576,127
full_td,C,h1_exc,114,25,0.95517206,0.012916875,1.0071257,0.010457848,0.94798434,0.005876779,1.5686483,0.009573053,1.6533203125,0.9487867465824639,0.00579019860548881,0.012556775328909277,0.0004072107167740356,95
full_td,C,h1_exc,115,25,0.6886486,0.01377653,0.5524336,0.00332533,1.2478147,0.026450794,2.0541732,0.04266241,1.6533203125,1.2424532784189108,0.02580407954115467,0.04261795022203753,0.003234995264037383,82
