contour_type,layer,channel,mean_activation_on_contour_pct_full_td,mean_activation_on_contour_pct_no_td,mean_contour_enrichment_full_td,mean_contour_enrichment_no_td,mean_contour_preference_ratio_full_td,mean_contour_preference_ratio_no_td,mean_dice_top_activation_full_td,mean_dice_top_activation_no_td,td_effect_contour_preference_ratio,td_effect_activation_on_contour_pct,td_effect_contour_enrichment,td_effect_dice_top_activation
C,h1_exc,74,3.7485328,1.8722192,2.2672754980445062,1.132399542189998,2.3168962,1.1349264,0.17257018352453482,0.041344028936680904,1.1819698,1.8763136,1.1348759558545083,0.13122615458785392
C,h1_exc,75,3.1859636,1.492664,1.9270093363492615,0.9028280601264638,1.9578004,0.90135646,0.15628592977444372,0.02068214195925527,1.0564439,1.6932997,1.0241812762227978,0.13560378781518845
C,h1_exc,76,6.6362996,1.6677006,4.013922296029938,1.0086978576901189,4.235081,1.0088481,0.20808849409183935,0.0343516773186062,3.226233,4.968599,3.0052244383398197,0.17373681677323316
C,h1_exc,77,3.161497,2.0705311,1.912211017072259,1.2523472264403217,1.9420347,1.2576833,0.19593265066848797,0.049590212017053895,0.68435144,1.090966,0.6598637906319373,0.1463424386514341
C,h1_exc,78,5.713745,1.527397,3.4559212357420948,0.9238361084202854,3.6057105,0.9226561,0.23133160144118714,0.017008296321112035,2.6830544,4.186348,2.5320851273218095,0.2143233051200751
C,h1_exc,79,2.6211982,1.8315006,1.5854146055078144,1.107771195607936,1.6012013,1.1097822,0.15748493077172926,0.047042654822720985,0.49141908,0.7896975,0.4776434098998785,0.11044227594900827
C,h1_exc,80,3.9985518,1.5468853,2.4184980922365353,0.9356234311487543,2.4779577,0.9346151,0.21275319461074155,0.023517975362420583,1.5433426,2.4516666,1.482874661087781,0.18923521924832096
C,h1_exc,81,1.5646609,1.8762802,0.9463749112133024,1.1348558131715234,0.94559497,1.1374402,0.051634788846925336,0.046848080937196314,-0.19184524,-0.31161928,-0.18848090195822098,0.0047867079097290224
C,h1_exc,82,2.068775,1.6347576,1.25128506042766,0.9887724728385084,1.2569741,0.988587,0.05173552333859739,0.027144795691906202,0.26838708,0.4340173,0.2625125875891515,0.02459072764669119
C,h1_exc,83,2.921367,1.6050867,1.7669696691523809,0.9708261931137343,1.7901524,0.9703543,0.13327746585088973,0.03003435850160895,0.8197981,1.3162802,0.7961434760386465,0.10324310734928079
C,h1_exc,84,4.513671,2.0600877,2.730064380083663,1.246030655256953,2.8128226,1.2512072,0.16578563647015354,0.04600336067198687,1.5616153,2.4535832,1.48403372482671,0.11978227579816667
C,h1_exc,85,2.2731657,1.504756,1.3749094534382322,0.9101418325552777,1.3837036,0.90876997,0.08699237408858879,0.020903377189289446,0.47493362,0.7684097,0.46476762088295454,0.06608899689929934
C,h1_exc,86,0.74545336,1.760709,0.45088259375239575,1.064953391973126,0.4467771,1.0661184,0.0014480710979286545,0.029290105889920644,-0.61934125,-1.0152557,-0.6140707982207303,-0.02784203479199199
C,h1_exc,87,3.98353,2.1041093,2.4094121617133752,1.272656755675499,2.4683933,1.2785205,0.19030252241666779,0.05133327746580798,1.1898729,1.8794208,1.1367554060378762,0.1389692449508598
C,h1_exc,88,2.0721123,1.4936757,1.2533036837449694,0.9034399835298064,1.258764,0.90197617,0.11531048353296294,0.008976753916976405,0.35678786,0.5784366,0.349863700215163,0.10633372961598654
C,h1_exc,89,3.1201208,1.9462941,1.8871846621494266,1.1772032920805158,1.9170272,1.1807226,0.1021905639821485,0.037992122684959356,0.73630464,1.1738267,0.7099813700689108,0.06419844129718914
C,h1_exc,90,4.210283,1.495365,2.546562132734837,0.9044617488117612,2.615731,0.90301186,0.1770015922230981,0.022291125450412893,1.7127192,2.7149177,1.642100383923076,0.1547104667726852
C,h1_exc,91,2.3731542,1.3759595,1.435386763135936,0.8322400926340365,1.4460405,0.8299008,0.09988435431148923,0.01566742618633981,0.6161397,0.99719465,0.6031466705018995,0.08421692812514942
C,h1_exc,92,4.857603,1.4947646,2.938089369134799,0.9040985662008082,3.0386846,0.9026448,0.22566663873273637,0.02979962069937439,2.1360397,3.3628385,2.0339908029339906,0.19586701803336198
C,h1_exc,93,2.95206,1.5716516,1.7855340933239108,0.9506031903150167,1.8096123,0.94981575,0.14691207799481457,0.025830714983955914,0.8597965,1.3804084,0.834930903008894,0.12108136301085864
C,h1_exc,94,2.882539,1.8049988,1.7434848812886679,1.091741695211128,1.7657083,1.0934315,0.13259274679684446,0.04706930212311728,0.67227685,1.0775403,0.6517431860775398,0.08552344467372719
C,h1_exc,95,1.6602134,1.1893946,1.0041691630464384,0.7193975696437132,1.0042988,0.7160203,0.035082544205115994,0.01183273275788835,0.28827852,0.47081876,0.2847715934027253,0.023249811447227646
C,h1_exc,96,0.8862597,1.3124821,0.5360483925533939,0.7938462266939691,0.5319194,0.7911066,0.003955417749095822,0.01816126633295489,-0.25918716,-0.42622244,-0.2577978341405752,-0.014205848583859069
C,h1_exc,97,3.0125065,1.5802094,1.8220949145458496,0.9557793032073287,1.8489468,0.9550705,0.0957278136259987,0.029028743819635442,0.8938763,1.4322971,0.8663156113385209,0.06669906980636327
C,h1_exc,98,0.67853326,1.4982382,0.41040639864548933,0.9061996378111433,0.4063887,0.9047756,0.0011396966395699826,0.019508924830286174,-0.49838692,-0.81970495,-0.495793239165654,-0.01836922819071619
C,h1_exc,99,7.286072,1.569326,4.406932909515953,0.9491965855769579,4.6811433,0.94839096,0.1900812871866336,0.03658426213019644,3.7327523,5.716746,3.457736323938995,0.15349702505643717
