condition,filename,contour_type,contrast,jitter,quadrant,position,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,dice_top_activation,top_activation_percentile
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,99,6.2925224,1.2647971,4.975124,7.71822,1.6533203125,4.668315104387303,0.19358082627990145,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,100,1.7596853,2.3986526,0.7336141,1.2182646,1.6533203125,0.7368593751577437,0.02363194502637758,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,101,1.3024228,1.155477,1.1271732,1.8596681,1.6533203125,1.124808127218194,0.039721779937953804,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,102,6.712798,3.791677,1.7704035,2.8902307,1.6533203125,1.748137137333329,0.1357579820664244,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,103,0.22444369,0.4079656,0.5501535,0.91639566,1.6533203125,0.5542759329477049,0.005363278303858742,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,104,0.9223172,1.369339,0.67354923,1.1196356,1.6533203125,0.6772042699367562,0.022626330344404064,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,105,7.26807,1.9562413,3.7153242,5.878707,1.6533203125,3.5556974967673702,0.23481102824081554,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,106,0.7045153,1.3376635,0.526676,0.87763196,1.6533203125,0.5308299609916317,0.001005614681973514,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,107,0.9843957,2.2461438,0.43826032,0.73137724,1.6533203125,0.442368749747021,0.0008380122349779283,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,108,3.467875,2.416954,1.4348122,2.3552725,1.6533203125,1.4245712094967606,0.13944523590032729,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,109,1.6248581,1.1207458,1.4498008,2.379291,1.6533203125,1.4390986581408032,0.07223665465509743,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,110,1.3387134,0.89926577,1.4886738,2.4415288,1.6533203125,1.4767427484698195,0.10491913181923664,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,111,1.2536798,1.2939025,0.9689136,1.602748,1.6533203125,0.9694116830071098,0.042738623983874346,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,112,1.5315906,1.7001349,0.9008642,1.4918624,1.6533203125,0.9023432398215108,0.04106259951391849,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,113,0.7822423,2.1821532,0.35847268,0.5990237,1.6533203125,0.3623155728556267,0.0016760244699558567,90
