filename,contour_type,contrast,jitter,quadrant,position,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,dice_top_activation,top_activation_percentile,rank,mean_activation,mean_abs_activation,max_activation
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,87,4.787107,1.7283868,2.7696967,2.257899,0.8271484375000001,2.729738601055905,0.11707405068989168,90,52,2.226665735244751,2.226665735244751,13.338601112365723
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,27,4.219056,1.726527,2.4436665,1.9974233,0.8271484375000001,2.4148304905164673,0.08875259312700572,90,61,2.0379397869110107,2.0379397869110107,12.76051139831543
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,99,9.950432,1.2679642,7.847565,6.1431556,0.8271484375000001,7.4269081848196095,0.1316857580949475,90,62,1.957944393157959,1.957944393157959,44.65234375
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,53,5.086239,1.3311158,3.821034,3.0884945,0.8271484375000001,3.733905985794483,0.12428970866769704,90,67,1.9157639741897583,1.9157639741897583,13.987329483032227
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,84,6.110906,1.2657698,4.827818,3.8707669,0.8271484375000001,4.679651989708958,0.13330928113995372,90,82,1.690818190574646,1.690818190574646,14.476702690124512
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,89,4.072236,1.215309,3.3507824,2.7187304,0.8271484375000001,3.2868712477109656,0.08875259312700572,90,87,1.611118197441101,1.611118197441101,19.528079986572266
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,76,5.410026,0.95625716,5.657501,4.506002,0.8271484375000001,5.447633931888993,0.13330928113995372,90,101,1.3404748439788818,1.3404748439788818,20.742843627929688
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,118,4.442792,1.0904787,4.074167,3.286375,0.8271484375000001,3.973138141900903,0.1289798863532705,90,102,1.3227511644363403,1.3227511644363403,18.849987030029297
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,120,1.4606104,0.67193377,2.1737416,1.7807186,0.8271484375000001,2.152840364228795,0.09163885631812786,90,113,1.1427520513534546,1.1427520513534546,5.633741855621338
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,29,10.772099,2.765165,3.895644,3.146903,0.8271484375000001,3.8045202738833668,0.13258771534217317,90,1,3.610541343688965,3.610541343688965,23.189178466796875
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,7,8.468255,2.5084357,3.3759108,2.7385602,0.8271484375000001,3.310844876774732,0.1251916659149227,90,4,2.6574273109436035,2.6574273109436035,16.446054458618164
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,92,8.402222,2.113043,3.9763608,3.2100139,0.8271484375000001,3.8808195507428067,0.14034454766831392,90,6,2.277388572692871,2.277388572692871,18.06319236755371
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,25,10.1850815,1.7309504,5.884098,4.6780353,0.8271484375000001,5.65561752958114,0.14521511680333252,90,8,2.1383376121520996,2.1383376121520996,20.542715072631836
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,62,3.8926904,1.8004242,2.1620963,1.7713478,0.8271484375000001,2.1415113169926787,0.1273563633082643,90,9,2.064971923828125,2.064971923828125,8.57112979888916
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,28,4.9158163,1.9010158,2.5858893,2.11122,0.8271484375000001,2.552407478181342,0.1197799224315687,90,10,2.048905849456787,2.048905849456787,11.317035675048828
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,105,4.8221035,1.4848784,3.2474737,2.6371186,0.8271484375000001,3.188204712138026,0.13781906737608204,90,11,2.0178685188293457,2.0178685188293457,9.271440505981445
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,61,13.618655,1.8148905,7.503844,5.8899355,0.8271484375000001,7.120771986299638,0.15279155768002814,90,12,1.9655227661132812,1.9655227661132812,24.809965133666992
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,80,6.7856994,1.8213825,3.7255762,3.013663,0.8271484375000001,3.643436752642364,0.1407053305672042,90,13,1.9328453540802002,1.9328453540802002,12.36902141571045
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,0,7.590518,1.4301853,5.307367,4.238953,0.8271484375000001,5.1247791449864355,0.13944259042108825,90,14,1.8785308599472046,1.8785308599472046,21.524911880493164
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,72,12.442854,1.4567313,8.541626,6.650343,0.8271484375000001,8.040083930985288,0.1408857220166493,90,15,1.706990361213684,1.706990361213684,26.380773544311523
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,20,3.8814871,1.2547351,3.0934713,2.5152063,0.8271484375000001,3.0408161250584915,0.11436817894821469,90,20,1.5571774244308472,1.5571774244308472,10.425697326660156
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,54,2.1857169,1.1419016,1.9141027,1.5713658,0.8271484375000001,1.899738599560716,0.05952917831689408,90,29,1.311018705368042,1.311018705368042,17.48322868347168
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,63,2.2802207,0.94119817,2.4226787,1.9806075,0.8271484375000001,2.3945006674428133,0.11959953098212356,90,30,1.3012793064117432,1.3012793064117432,4.137305736541748
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,1,3.085941,1.2294358,2.5100465,2.0505688,0.8271484375000001,2.479081989748908,0.12447010011714217,90,32,1.284126877784729,1.284126877784729,6.395458698272705
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,108,2.018802,1.1546993,1.7483356,1.4372371,0.8271484375000001,1.7375806578135906,0.12032109677990409,90,35,1.260319709777832,1.260319709777832,3.4353621006011963
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,41,2.9032915,0.9939485,2.9209676,2.3782847,0.8271484375000001,2.8752815772700604,0.1316857580949475,90,39,1.2098742723464966,1.2098742723464966,5.451322555541992
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,58,1.956034,1.0948724,1.7865406,1.4681827,0.8271484375000001,1.7749929742702293,0.12501127446547758,90,40,1.2020589113235474,1.2020589113235474,3.3326523303985596
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,84,3.5588531,0.9054794,3.9303524,3.174051,0.8271484375000001,3.8373414783825237,0.13042301794883157,90,44,1.0619785785675049,1.0619785785675049,8.190583229064941
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,43,1.7620318,0.5919423,2.976695,2.4225595,0.8271484375000001,2.928808615989816,0.13330928113995372,90,58,0.876922070980072,0.876922070980072,3.785036325454712
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,53,2.8730907,0.62342954,4.6085253,3.7014542,0.8271484375000001,4.474957516737231,0.11635248489211115,90,64,0.8066934943199158,0.8066934943199158,7.977601528167725
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,91,1.1626692,0.54971874,2.1150255,1.7334524,0.8271484375000001,2.095696902469452,0.12483088301603243,90,65,0.7904289960861206,0.7904289960861206,2.2912068367004395
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,51,1.0120574,0.51527786,1.9641004,1.6117495,0.8271484375000001,1.9485613915010844,0.09362316226202433,90,81,0.6530964374542236,0.6530964374542236,3.138021945953369
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,td_h1_exc,118,1.626847,0.46792847,3.4767003,2.8180172,0.8271484375000001,3.406906284907207,0.12825832055548997,90,96,0.5573915243148804,0.5573915243148804,3.223322629928589
